1391097602859 <142>Jan 30 23:57:12 2014 SJTU-Local5 authmgr[1970]: <522026> <INFO> <SJTU-Local5 10.190.5.1>  MAC=e4:ce:8f:a2:49:ee IP=10.184.161.8 User miss: ingress=0x10805, VLAN=1005 flags=0xc140
1391097602859 <142>Jan 30 23:57:12 2014 SJTU-Local5 authmgr[1970]: <522006> <INFO> <SJTU-Local5 10.190.5.1>  MAC=e4:ce:8f:a2:49:ee IP=10.184.161.8 User entry added: reason=Sibtye
1391097602859 <142>Jan 30 23:57:12 2014 SJTU-Local5 authmgr[1970]: <522050> <INFO> <SJTU-Local5 10.190.5.1>  MAC=e4:ce:8f:a2:49:ee,IP=10.184.161.8 User data downloaded to datapath, new Role=sjtu-mobile-logon/62, bw Contract=0/0, reason=New user IP processing, idle-timeout=300
1391097603893 <142>Jan 30 23:57:13 2014 SJTU-Local5 authmgr[1970]: <522038> <INFO> <SJTU-Local5 10.190.5.1>  username=saiplhan MAC=68:a8:6d:6e:7b:87 IP=0.0.0.0 Authentication result=Authentication Successful method=802.1x server=sjtu-radius-new
1391097603894 <142>Jan 30 23:57:13 2014 SJTU-Local5 authmgr[1970]: <124003> <INFO> <SJTU-Local5 10.190.5.1>  Authentication result=Authentication Successful(0), method=802.1x, server=sjtu-radius-new, user=68:a8:6d:6e:7b:87 
1391097603894 <142>Jan 30 23:57:13 2014 SJTU-Local5 authmgr[1970]: <522044> <INFO> <SJTU-Local5 10.190.5.1>  MAC=68:a8:6d:6e:7b:87 Station authenticate(start): method=802.1x, role=sjtu-user/sjtu-user//sjtu-user, VLAN=1005/1005, Derivation=1/1, Value Pair=1, flags=0x8 
1391097603895 <142>Jan 30 23:57:13 2014 SJTU-Local5 authmgr[1970]: <522049> <INFO> <SJTU-Local5 10.190.5.1>  MAC=68:a8:6d:6e:7b:87,IP=N/A User role updated, existing Role=sjtu-user/sjtu-user, new Role=sjtu-user/sjtu-user, reason=Station Authenticated with auth type: 4
1391097603895 <142>Jan 30 23:57:13 2014 SJTU-Local5 authmgr[1970]: <522050> <INFO> <SJTU-Local5 10.190.5.1>  MAC=68:a8:6d:6e:7b:87,IP=N/A User data downloaded to datapath, new Role=sjtu-user/68, bw Contract=0/0, reason=Download driven by user role setting, idle-timeout=300
1391097603896 <142>Jan 30 23:57:13 2014 SJTU-Local5 authmgr[1970]: <522029> <INFO> <SJTU-Local5 10.190.5.1>  MAC=68:a8:6d:6e:7b:87 Station authenticate: method=802.1x, role=sjtu-user/sjtu-user//sjtu-user, VLAN=1005/1005, Derivation=1/1, Value Pair=1 
1391097603896 <141>Jan 30 23:57:13 2014 SJTU-Local5 authmgr[1970]: <522008> <NOTI> <SJTU-Local5 10.190.5.1>  User Authentication Successful: username=saiplhan MAC=68:a8:6d:6e:7b:87 IP=10.184.32.143 role=sjtu-user VLAN=1005 AP=DSY-1F-09 SSID=SJTU AAA profile=sjtu-dot1x-aaa-profile auth method=802.1x auth server=sjtu-radius-new
1391097603896 <141>Jan 30 23:57:13 2014 SJTU-Local5 authmgr[1970]: <522008> <NOTI> <SJTU-Local5 10.190.5.1>  User Authentication Successful: username=saiplhan MAC=68:a8:6d:6e:7b:87 IP=fe80::18e3:deaa:8643:ec5c role=sjtu-user VLAN=1005 AP=DSY-1F-09 SSID=SJTU AAA profile=sjtu-dot1x-aaa-profile auth method=802.1x auth server=sjtu-radius-new
1391097603897 <141>Jan 30 23:57:13 2014 SJTU-Local5 authmgr[1970]: <522008> <NOTI> <SJTU-Local5 10.190.5.1>  User Authentication Successful: username=saiplhan MAC=68:a8:6d:6e:7b:87 IP=2403:d400:1000:5:e507:2f86:b21d:8051 role=sjtu-user VLAN=1005 AP=DSY-1F-09 SSID=SJTU AAA profile=sjtu-dot1x-aaa-profile auth method=802.1x auth server=sjtu-radius-new
1391097606201 <142>Jan 30 23:59:52 2014 SJTU-Local3 authmgr[1973]: <522026> <INFO> <SJTU-Local3 10.190.3.1>  MAC=80:cf:41:75:7a:c6 IP=0.0.0.0 User miss: ingress=0x10ccb, VLAN=1003 flags=0x48
1391097606971 <142>Jan 30 23:48:47 2014 SJTU-Local2 authmgr[1966]: <522026> <INFO> <SJTU-Local2 10.190.2.1>  MAC=00:25:86:20:32:f9 IP=2403:d400:1000:2:accd:74aa:a1a3:1611 User miss: ingress=0x10a09, VLAN=1002 flags=0x40
1391097606972 <142>Jan 30 23:48:47 2014 SJTU-Local2 authmgr[1966]: <522005> <INFO> <SJTU-Local2 10.190.2.1>  MAC=00:25:86:20:32:f9 IP=2403:d400:1000:2:8401:27bf:de6d:5816 User entry deleted: reason=unknown
1391097606973 <142>Jan 30 23:48:47 2014 SJTU-Local2 authmgr[1966]: <522006> <INFO> <SJTU-Local2 10.190.2.1>  MAC=00:25:86:20:32:f9 IP=2403:d400:1000:2:accd:74aa:a1a3:1611 User entry added: reason=Sibtye
1391097606974 <142>Jan 30 23:48:47 2014 SJTU-Local2 authmgr[1966]: <522050> <INFO> <SJTU-Local2 10.190.2.1>  MAC=00:25:86:20:32:f9,IP=2403:d400:1000:2:accd:74aa:a1a3:1611 User data downloaded to datapath, new Role=sjtu-user/67, bw Contract=0/0, reason=New IP user created, idle-timeout=300
1391097610963 <141>Jan 30 23:48:51 2014 10.192.18.109 stm[681]: <501109> <NOTI> |AP MLXY-N-1F-01@10.192.18.109 stm|  Auth request: 50:cc:f8:8d:bc:9a: AP 10.192.18.109-d8:c7:c8:27:5e:81-MLXY-N-1F-01 auth_alg 0
1391097610963 <141>Jan 30 23:48:51 2014 10.192.18.109 stm[681]: <501093> <NOTI> |AP MLXY-N-1F-01@10.192.18.109 stm|  Auth success: 50:cc:f8:8d:bc:9a: AP 10.192.18.109-d8:c7:c8:27:5e:81-MLXY-N-1F-01
1391097610964 <141>Jan 30 23:48:51 2014 10.192.18.109 stm[681]: <501095> <NOTI> |AP MLXY-N-1F-01@10.192.18.109 stm|  Assoc request @ 23:48:51.346410: 50:cc:f8:8d:bc:9a (SN 17): AP 10.192.18.109-d8:c7:c8:27:5e:81-MLXY-N-1F-01
1391097610965 <141>Jan 30 23:48:51 2014 SJTU-Local2 stm[1967]: <501095> <NOTI> <SJTU-Local2 10.190.2.1>  Assoc request @ 23:48:51.349290: 50:cc:f8:8d:bc:9a (SN 17): AP 10.192.18.109-d8:c7:c8:27:5e:81-MLXY-N-1F-01
1391097610965 <141>Jan 30 23:48:51 2014 10.192.18.109 stm[681]: <501100> <NOTI> |AP MLXY-N-1F-01@10.192.18.109 stm|  Assoc success @ 23:48:51.347987: 50:cc:f8:8d:bc:9a: AP 10.192.18.109-d8:c7:c8:27:5e:81-MLXY-N-1F-01
1391097610967 <141>Jan 30 23:48:51 2014 SJTU-Local2 stm[1967]: <501100> <NOTI> <SJTU-Local2 10.190.2.1>  Assoc success @ 23:48:51.350231: 50:cc:f8:8d:bc:9a: AP 10.192.18.109-d8:c7:c8:27:5e:81-MLXY-N-1F-01
1391097610967 <142>Jan 30 23:48:51 2014 SJTU-Local2 authmgr[2201]: <522035> <INFO> <SJTU-Local2 10.190.2.1>  MAC=50:cc:f8:8d:bc:9a Station UP: BSSID=d8:c7:c8:27:5e:81 ESSID=SJTU-Web VLAN=1002 AP-name=MLXY-N-1F-01
1391097610971 <142>Jan 30 23:48:51 2014 SJTU-Local2 authmgr[2201]: <522050> <INFO> <SJTU-Local2 10.190.2.1>  MAC=50:cc:f8:8d:bc:9a,IP=N/A User data downloaded to datapath, new Role=sjtu-logon/63, bw Contract=0/0, reason=layer 2 event driven download, idle-timeout=300
1391097611154 <142>Jan 30 23:48:51 2014 SJTU-Local2 authmgr[1966]: <522050> <INFO> <SJTU-Local2 10.190.2.1>  MAC=50:cc:f8:8d:bc:9a,IP=N/A User data downloaded to datapath, new Role=(null)/0, bw Contract=0/0, reason=Intra MM move for user, idle-timeout=300
